coid,year_q,K_avg
6415,2020Q1,47.01687564015644
6415,2020Q2,74.45646946542956
6415,2020Q3,47.38133362908855
6415,2020Q4,47.798175736599624
6415,2021Q1,46.86870084599441
6415,2021Q2,59.961523731870976
6415,2021Q3,53.32023469310581
6415,2021Q4,59.57841850224938
6415,2022Q1,37.56131232809816
6415,2022Q2,41.836167909994245
6415,2022Q3,43.52293335433418
6415,2022Q4,48.762716380612574
6415,2023Q1,53.838862420809534
6415,2023Q2,37.50125377702004
6415,2023Q3,39.82366380176968
6415,2023Q4,52.51375916570168
6415,2024Q1,32.785578081612606
6415,2024Q2,57.26785247865886
6415,2024Q3,44.84050066930221
6415,2024Q4,37.232689964976835
6415,2025Q1,49.429342943335705
6415,2025Q2,37.25424590186475
6415,2025Q3,26.253312479285384
6415,2025Q4,26.949700011090655
6416,2020Q1,56.37419504288582
6416,2020Q2,52.50136594405012
6416,2020Q3,45.65857922969712
6416,2020Q4,35.48773117462895
6416,2021Q1,43.412922233558724
6416,2021Q2,43.35926425583376
6416,2021Q3,32.86000394177127
6416,2021Q4,43.406136315054276
6416,2022Q1,35.38040355224363
6416,2022Q2,41.77392704275994
6416,2022Q3,55.076248975570415
6416,2022Q4,41.648187041683045
6416,2023Q1,57.35107487805514
6416,2023Q2,37.75680854962783
6416,2023Q3,32.32428485677991
6416,2023Q4,52.28706062250577
6416,2024Q1,57.57252425560991
6416,2024Q2,52.134830111183106
6416,2024Q3,58.435251179266906
6416,2024Q4,36.389638887678565
6416,2025Q1,43.36322912288274
6416,2025Q2,49.56902743384148
6416,2025Q3,45.600897033481424
6416,2025Q4,46.242547407567045
6426,2020Q1,33.950866125589634
6426,2020Q2,58.6595921554167
6426,2020Q3,38.15026412052211
6426,2020Q4,40.99173432095324
6426,2021Q1,38.01911423544819
6426,2021Q2,34.19015332959895
6426,2021Q3,29.08891024584397
6426,2021Q4,44.58643260078849
6426,2022Q1,39.895908193510024
6426,2022Q2,38.73172828540286
6426,2022Q3,48.69095224934041
6426,2022Q4,34.30062039186058
6426,2023Q1,44.932413388549364
6426,2023Q2,30.018033583721255
6426,2023Q3,47.178147660636974
6426,2023Q4,36.40003409319489
6426,2024Q1,37.67545106945641
6426,2024Q2,36.61719905649347
6426,2024Q3,44.010582508584044
6426,2024Q4,41.421940690629754
6426,2025Q1,46.7902774214352
6426,2025Q2,52.01972351768054
6426,2025Q3,44.428280257246435
6426,2025Q4,50.9819797208479
6431,2020Q1,40.6751514407841
6431,2020Q2,59.02791175423412
6431,2020Q3,58.702580023508446
6431,2020Q4,47.7238415973753
6431,2021Q1,47.5857489108374
6431,2021Q2,43.52861807652111
6431,2021Q3,37.41699761622618
6431,2021Q4,46.11407360782887
6431,2022Q1,54.6059955458784
6431,2022Q2,50.08447794379601
6431,2022Q3,29.804542159593385
6431,2022Q4,32.190884827295434
6431,2023Q1,32.99423822916607
6431,2023Q2,29.627513634948453
6431,2023Q3,42.91688257577088
6431,2023Q4,43.033155882365804
6431,2024Q1,24.46527703574563
6431,2024Q2,43.772665659950974
6431,2024Q3,49.42425437530528
6431,2024Q4,32.49298077045135
6431,2025Q1,61.626231356955955
6431,2025Q2,48.54943021959732
6431,2025Q3,37.98603475190144
6431,2025Q4,57.397260532738564
6438,2020Q1,28.017504624321862
6438,2020Q2,59.7205623087945
6438,2020Q3,38.954183887959005
6438,2020Q4,41.17738608023273
6438,2021Q1,48.00359616475101
6438,2021Q2,54.757161182545765
6438,2021Q3,45.93259463157593
6438,2021Q4,47.928741697134804
6438,2022Q1,49.38880347035985
6438,2022Q2,35.54051283285769
6438,2022Q3,48.03105274480329
6438,2022Q4,49.96730416771203
6438,2023Q1,64.75067790596451
6438,2023Q2,55.94251607272385
6438,2023Q3,34.40828208752056
6438,2023Q4,45.94656653150068
6438,2024Q1,53.89907329486042
6438,2024Q2,39.976066114926404
6438,2024Q3,57.610826505366006
6438,2024Q4,50.41417712860465
6438,2025Q1,39.7293967403798
6438,2025Q2,44.64856927587544
6438,2025Q3,43.798585453133626
6438,2025Q4,38.059558674073934
6442,2020Q1,48.24713684207704
6442,2020Q2,56.586787321705884
6442,2020Q3,35.46210284448673
6442,2020Q4,41.5739879697342
6442,2021Q1,54.30329271400335
6442,2021Q2,43.06703181041724
6442,2021Q3,46.97282052172862
