coid,year,ROA,EPS,ROE,OM,GM,FCF,total_assets,LEV
1777,2025,9.03,5.87,10.16,24.6,34.64,-0.8224310641130843,2959852,12.49
1781,2025,-7.39,-1.3,-17.28,-15.93,17.62,4.757680694631617,723128,55.67
1783,2025,15.27,2.96,18.22,32.17,69.46,0.9803921568627451,1893142,18.78
1784,2025,0.07,1.02,0.04,-1.17,55.3,-7.336006265959708,3079898,26.71
1785,2025,6.47,3.14,12.71,10.52,14.56,10.67094470209502,34434450,56.4
1786,2025,6.71,2.24,8.37,21.42,72.0,-1.0457854329925613,2669579,25.82
1788,2025,7.62,8.28,12.18,9.79,26.73,4.075738067023574,5083565,39.98
1789,2025,1.22,0.17,1.3,3.44,34.66,3.23111857553413,11857725,11.24
1795,2025,7.43,18.14,21.0,28.79,58.05,-29.630582472022365,106153931,77.6
1796,2025,2.79,0.7,3.6,6.81,28.18,5.512042073900187,1280663,36.23
1799,2025,-4.11,-0.59,-10.47,-11.25,46.92,-27.72293710346699,1292295,45.63
1802,2025,-0.25,-0.2,-1.39,0.89,11.6,-35.69629528799091,90825325,44.59
1805,2025,1.59,0.2,1.86,9.57,29.28,0.6778288162508392,2002298,18.76
1806,2025,1.78,0.29,2.07,3.04,22.82,1.4117244671830353,8174847,35.58
1808,2025,2.8,1.36,9.5,27.42,38.74,34.578132179102475,56339006,77.2
1809,2025,0.8,0.19,0.72,1.0,19.9,-7.015386451692949,4511725,26.74
1810,2025,0.36,0.05,0.25,-1.08,25.81,14.171626435777378,10370917,33.05
1813,2025,-4.84,-1.03,-7.92,-41.82,-17.19,34.502840503582746,931759,29.06
1815,2025,5.99,1.64,8.42,15.61,27.56,-161.89267310572652,18445939,31.71
1817,2025,9.26,3.61,11.51,12.4,36.82,-2.409595534303559,2929346,21.77
1903,2025,3.63,1.29,6.22,-14.31,65.19,-538.2055029874093,10560058,47.67
1904,2025,2.05,0.74,2.64,4.38,17.98,9.21168851484419,71983295,58.28
1905,2025,-0.93,-0.56,-3.42,-8.14,2.68,-12.856914504003992,40441347,54.04
1906,2025,0.58,0.01,0.04,2.91,9.31,-4.0884946522271415,5545101,49.64
1907,2025,1.89,1.19,2.48,-1.13,12.96,-70.5322147737672,172258022,46.62
1909,2025,0.87,-0.39,-2.5,-0.03,9.85,0.3944221359138086,68753224,70.44
2002,2025,0.08,-0.29,-1.04,-1.23,2.85,-10.9725119786762,673846973,51.04
2006,2025,9.26,6.47,14.16,10.11,14.82,2.0042393366455364,51997209,33.72
2007,2025,-8.23,-2.24,-24.84,-15.48,-11.79,-25.98915548270046,12348662,65.78
2008,2025,2.63,0.68,3.57,8.89,16.8,-21.8964412248601,8234382,54.58
2009,2025,1.37,0.34,1.44,-2.59,-0.41,0.5149675232985033,11625222,16.44
2010,2025,6.93,2.32,11.72,7.16,10.99,-2.3403194250011654,24224204,45.1
2012,2025,1.64,0.2,2.5,3.6,13.77,-5.007703200461776,11546927,60.26
