coid,year,ppo_year_avg
1304 台聚,2020,0.8129715476570554
1304 台聚,2021,0.718711876153243
1304 台聚,2022,-0.5405441135508284
1304 台聚,2023,-0.11621007047510377
1304 台聚,2024,-1.032576405394386
1304 台聚,2025,-0.06563704618146683
1305 華夏,2020,0.3261620917330744
1305 華夏,2021,0.771230051367421
1305 華夏,2022,-0.4289019823145114
1305 華夏,2023,-0.18224309430221422
1305 華夏,2024,-1.1139584366506305
1305 華夏,2025,-0.34853849016236826
1307 三芳,2020,-0.09786886237418956
1307 三芳,2021,-0.11455925339543169
1307 三芳,2022,0.051068223397522594
1307 三芳,2023,0.4928684768210009
1307 三芳,2024,0.7637218664164437
1307 三芳,2025,-0.2828593908040083
1308 亞聚,2020,0.6012051373009815
1308 亞聚,2021,1.1339429989541279
1308 亞聚,2022,-0.33252625687640236
1308 亞聚,2023,-0.2366989270298508
1308 亞聚,2024,-0.934570371028816
1308 亞聚,2025,-0.2071747461085561
1309 台達化,2020,2.048711456506441
1309 台達化,2021,0.20698107629514959
1309 台達化,2022,-0.6047460987058539
1309 台達化,2023,-0.47194851147558414
1309 台達化,2024,-0.2274125950742709
1309 台達化,2025,-0.7829863333096126
1310 台苯,2020,-0.16865036157726404
1310 台苯,2021,-0.09626735324228998
1310 台苯,2022,-0.44888607252737606
1310 台苯,2023,0.3142285896817802
1310 台苯,2024,-0.8486661404546759
1310 台苯,2025,-0.5002553783353996
1312 國喬,2020,0.3153063660447731
1312 國喬,2021,0.40924380942022015
1312 國喬,2022,-0.5945533397099475
1312 國喬,2023,-0.3059294575252386
1312 國喬,2024,-0.6718237079098232
1312 國喬,2025,0.07939574613972888
1313 聯成,2020,0.9325705839641701
1313 聯成,2021,0.33215726766539255
1313 聯成,2022,-0.7473152634934229
