coid,year,K_avg
1540,2022,47.24181688677093
1540,2023,45.34544344572815
1540,2024,45.652889936640754
1540,2025,38.50674411291744
1541,2020,51.13411909075171
1541,2021,44.644433223445716
1541,2022,46.25698554712783
1541,2023,41.61819964356155
1541,2024,39.44507092150144
1541,2025,40.333046971424544
1558,2020,54.1290820968183
1558,2021,46.94841791166172
1558,2022,47.99588178206777
1558,2023,50.35249603945347
1558,2024,45.44032616530895
1558,2025,49.72560108313913
1560,2020,47.65063616465173
1560,2021,53.58367088548431
1560,2022,42.38446382956214
1560,2023,50.2487886935247
1560,2024,46.3530459169198
1560,2025,49.69776673437498
1563,2020,43.29880492649334
1563,2021,55.430609234818576
1563,2022,40.732537156831036
1563,2023,55.18652939714666
1563,2024,39.029601647764615
1563,2025,45.9881869524411
1568,2020,45.13288881345279
1568,2021,43.61490358731715
1568,2022,39.880132040255084
1568,2023,43.938813344313736
1568,2024,39.169998462046806
1568,2025,47.89655819117254
1582,2020,51.550430100055415
1582,2021,50.66294521043358
1582,2022,48.237043577212425
1582,2023,58.2551788660741
1582,2024,42.21261302917619
1582,2025,46.06706960736805
1583,2020,56.8046346780763
1583,2021,45.577189013489736
1583,2022,53.62602279684697
1583,2023,53.12972896932513
1583,2024,44.817362139169
1583,2025,43.77473272415572
1587,2020,51.17799552867725
1587,2021,47.56162851672122
1587,2022,42.302563952553555
1587,2023,46.37604692894071
1587,2024,41.569140678527575
1587,2025,47.8601149555739
1589,2020,46.391029274711116
1589,2021,41.30084791282206
1589,2022,45.6182388272159
1589,2023,40.17134141217954
1589,2024,41.59029176083878
1589,2025,37.706062825826436
1590,2020,55.16363070892572
1590,2021,51.90640136909324
1590,2022,50.53281253178148
1590,2023,50.87606912223456
1590,2024,43.804464172872315
1590,2025,51.22654448163249
1597,2020,44.235183232266486
1597,2021,44.38350402882849
1597,2022,47.742440590591094
1597,2023,45.94071216876099
1597,2024,44.32918185873525
1597,2025,37.19754549371398
1598,2020,54.27197551208238
1598,2021,40.33396580901451
1598,2022,45.37284208092142
1598,2023,42.492406676989305
1598,2024,43.58477193925774
1598,2025,47.23939268684165
1603,2020,47.843863679373605
1603,2021,41.80116176716232
1603,2022,45.19187281013014
1603,2023,48.33964149013362
1603,2024,41.90251919693781
1603,2025,47.65521478850077
1604,2020,58.154902895610185
