coid,year_q,RSI
1713 國化,2022Q1,49.850565451347684
1713 國化,2022Q2,61.095748080777526
1713 國化,2022Q3,23.732546806093936
1713 國化,2022Q4,51.41606214649164
1713 國化,2023Q1,67.53197717683356
1713 國化,2023Q2,48.77211935601635
1713 國化,2023Q3,82.27788890949124
1713 國化,2023Q4,18.946925139852908
1713 國化,2024Q1,68.03597397972354
1713 國化,2024Q2,59.66876397080356
1713 國化,2024Q3,47.68639008419478
1713 國化,2024Q4,35.1624743351317
1713 國化,2025Q1,35.06517276578872
1713 國化,2025Q2,48.8504935485096
1713 國化,2025Q3,43.91015018496006
1713 國化,2025Q4,65.35686976709074
1714 和桐,2020Q1,40.49039072679149
1714 和桐,2020Q2,50.59910653008524
1714 和桐,2020Q3,37.33297253050793
1714 和桐,2020Q4,58.447770843413124
1714 和桐,2021Q1,59.677621153536364
1714 和桐,2021Q2,56.59632473568217
1714 和桐,2021Q3,64.97903140940828
1714 和桐,2021Q4,63.10610360837139
1714 和桐,2022Q1,46.97739599244544
1714 和桐,2022Q2,33.50683642632463
1714 和桐,2022Q3,43.36708889985438
1714 和桐,2022Q4,55.525142528466496
1714 和桐,2023Q1,55.705932600029826
1714 和桐,2023Q2,36.33354015202855
1714 和桐,2023Q3,31.193753354532895
1714 和桐,2023Q4,47.86547143690976
1714 和桐,2024Q1,39.48589442053168
1714 和桐,2024Q2,55.775354438344834
1714 和桐,2024Q3,65.26224080659286
1714 和桐,2024Q4,34.47862805036598
1714 和桐,2025Q1,49.059343100545775
1714 和桐,2025Q2,35.12835950128472
1714 和桐,2025Q3,62.70305033508299
1714 和桐,2025Q4,38.069068612288945
1717 長興,2020Q1,35.98707404695178
1717 長興,2020Q2,52.270709214421565
1717 長興,2020Q3,38.90083585956104
1717 長興,2020Q4,49.39214299834411
1717 長興,2021Q1,55.71974471145913
1717 長興,2021Q2,52.58482863685558
1717 長興,2021Q3,44.333872687789786
1717 長興,2021Q4,91.02966316621551
1717 長興,2022Q1,46.374446795295306
1717 長興,2022Q2,36.978579701600886
1717 長興,2022Q3,20.480183048396754
1717 長興,2022Q4,43.89976384108628
1717 長興,2023Q1,59.25224640982438
1717 長興,2023Q2,41.20728393268971
1717 長興,2023Q3,43.559110690950845
1717 長興,2023Q4,54.0865912237871
1717 長興,2024Q1,52.97782178492413
1717 長興,2024Q2,48.719215562769364
1717 長興,2024Q3,71.83940774820564
1717 長興,2024Q4,32.05787059549935
1717 長興,2025Q1,33.917587378857164
1717 長興,2025Q2,34.58972102208012
1717 長興,2025Q3,50.288897397084654
1717 長興,2025Q4,54.43872110920083
1718 中纖,2020Q1,28.373016599692967
1718 中纖,2020Q2,52.732753023699644
1718 中纖,2020Q3,39.44179637833826
1718 中纖,2020Q4,71.37456809780763
1718 中纖,2021Q1,56.549315336438156
1718 中纖,2021Q2,54.558107056492275
1718 中纖,2021Q3,60.19411886223446
1718 中纖,2021Q4,67.31100698043977
1718 中纖,2022Q1,44.02165600866248
1718 中纖,2022Q2,40.48766181811219
1718 中纖,2022Q3,59.368866370813265
1718 中纖,2022Q4,51.509114318039096
1718 中纖,2023Q1,39.141423418746804
1718 中纖,2023Q2,51.196595674446975
1718 中纖,2023Q3,33.25543753547368
1718 中纖,2023Q4,38.055524033851896
1718 中纖,2024Q1,32.4549609101297
1718 中纖,2024Q2,61.08876709304815
1718 中纖,2024Q3,67.23564842892343
1718 中纖,2024Q4,23.477404383631534
1718 中纖,2025Q1,29.243618215490557
1718 中纖,2025Q2,41.43549384256646
1718 中纖,2025Q3,47.92165475402315
1718 中纖,2025Q4,48.6000652491849
1720 生達,2020Q1,55.95144760645528
1720 生達,2020Q2,56.04256521299921
1720 生達,2020Q3,45.91665628861603
1720 生達,2020Q4,55.05309908466898
