coid,year,RSI
1533,2020,75.6582544142361
1533,2021,52.69730040959916
1533,2022,30.26545406424235
1533,2023,43.6999960852577
1533,2024,49.25433712039193
1533,2025,52.190668516285236
1535,2020,75.34715483939168
1535,2021,65.09691294498604
1535,2022,45.83757043768658
1535,2023,60.03002610424599
1535,2024,26.567264159831005
1535,2025,45.554429985471266
1536,2020,48.43241782948341
1536,2021,57.21279201664121
1536,2022,20.64198518662746
1536,2023,39.63273208918394
1536,2024,61.383017629144184
1536,2025,37.6521620686826
1537,2020,45.258632250085526
1537,2021,54.186437900892834
1537,2022,53.94690859116742
1537,2023,58.61285167764483
1537,2024,44.57217917627208
1537,2025,51.769985143987206
1538,2020,81.97811635527307
1538,2021,44.20813503963002
1538,2022,57.87448709727067
1538,2023,68.28374578535497
1538,2024,22.01514862984122
1538,2025,45.00557102111232
1539,2020,39.870342734057566
1539,2021,46.36061377495084
1539,2022,35.59038821361575
1539,2023,52.52038416658519
1539,2024,39.67303981229633
1539,2025,55.37501464530929
1540,2020,67.95703680815592
1540,2021,43.6553153747093
1540,2022,30.755153662420227
1540,2023,38.451420866227984
1540,2024,46.73311118756047
1540,2025,51.15791265703565
1541,2020,39.05941191510831
1541,2021,56.88671939790303
1541,2022,41.700547374198436
1541,2023,55.77060334392168
1541,2024,44.63197941409007
1541,2025,40.7981868234213
1558,2020,57.47785531755645
1558,2021,67.33735905139143
1558,2022,45.85477687649935
1558,2023,48.411161908879215
1558,2024,84.02525622201888
1558,2025,57.28372584018834
1560,2020,61.21728971472899
1560,2021,89.11570327659717
1560,2022,32.07263110106701
1560,2023,72.63673895582502
1560,2024,38.64252548819756
1560,2025,75.14220969523956
1563,2020,39.94543082590838
1563,2021,81.11275561306222
1563,2022,18.421444008157366
1563,2023,61.6015774254547
1563,2024,73.57072654862355
1563,2025,79.18800413676288
1565,2020,46.138282315675035
1568,2020,48.922410903745984
1568,2021,75.51945455140195
1568,2022,35.94652769157897
1568,2023,31.215793163474466
1568,2024,52.96047769553125
1568,2025,63.73915358972976
1569,2020,41.272794839069086
1570,2020,54.50756809442836
1580,2020,48.2068272637733
1582,2020,70.21351285976519
1582,2021,64.34784176986032
1582,2022,60.38171593490309
1582,2023,40.195035765696794
1582,2024,46.277581966108876
1582,2025,50.482546533592235
1583,2020,65.67060574029786
1583,2021,64.48184968848688
1583,2022,51.13894117283492
1583,2023,71.71690820314187
1583,2024,90.50365977422751
1583,2025,37.929059058576755
1584,2020,54.661719805212215
1586,2020,58.17331551110012
1587,2020,34.27418270038392
1587,2021,65.54365300795125
1587,2022,48.16558211499531
1587,2023,56.04440691108381
1587,2024,39.91152347702628
1587,2025,53.573221713500864
1589,2020,51.209279373643035
1589,2021,84.7737897602042
1589,2022,55.419171337765846
1589,2023,81.21153310086679
1589,2024,24.605140666588667
1589,2025,39.8689889429242
1590,2020,63.36857562218244
1590,2021,83.98361354888556
1590,2022,53.71324895850237
1590,2023,45.1465142809924
1590,2024,55.8567318167546
1590,2025,51.18548332562859
1591,2020,53.96826049597435
1593,2020,82.7195868219852
1595,2020,63.130013184388865
1597,2020,37.0052554157366
1597,2021,66.28312679782556
1597,2022,31.41112631244665
1597,2023,43.49877359056613
1597,2024,79.62329868797215
1597,2025,45.706445820242756
1598,2020,57.083697636745576
1598,2021,37.005092856448776
1598,2022,33.87521921960268
1598,2023,33.607108270756584
1598,2024,49.692939949640866
1598,2025,37.48243887277553
1599,2020,74.89889533873082
1603,2020,50.876741548039874
1603,2021,50.73927655907894
1603,2022,42.54313581585728
1603,2023,50.081323546645606
1603,2024,45.26651319642032
1603,2025,43.69726433257586
1604,2020,63.40593819524819
1604,2021,69.17599011668823
1604,2022,73.56109277361989
1604,2023,72.42718012538005
1604,2024,47.259068025159195
1604,2025,39.684033967374006
1605,2020,51.4488699330453
1605,2021,58.08975654429922
1605,2022,50.64735381267329
1605,2023,51.90348316543011
1605,2024,27.364835529782894
1605,2025,55.65746112623622
1608,2020,57.76957862767746
1608,2021,64.76413845288747
1608,2022,36.9201973280015
1608,2023,47.284714689896305
