coid,year,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1216,2024,12.6683,5.2,3.64,15.98,5.14,-0.1369817414825024,0.4840555504005517,0.3047509341854285,56.49392970094861,32.467230644774794,20.318132800600154,70.49
1216,2025,-1.0873,4.85,3.45,14.86,5.18,5.599157458054053,-0.6371593826358589,-0.1532297054720775,47.813363735641055,50.23851654279677,20.318132800600154,71.43
1217,2020,40.0848,2.66,0.47,3.75,4.68,-0.4323082898491987,-20.56802565277141,0.4568435921902666,44.68004484034648,79.37314328907078,16.406341989182224,48.59
1217,2021,8.9355,2.32,0.41,3.05,3.64,-104.72101938608397,-13.42189647274393,0.2327089762821836,45.60754628966165,80.67369860073524,16.442840388497974,46.54
1217,2022,1.5039,2.78,0.56,3.86,3.57,23.814685245247087,-12.230874942739344,0.076932467119714,49.24798067712235,50.43536920737477,16.43692669270443,45.35
1217,2023,16.5686,2.33,0.41,2.89,2.63,-13.330836584235046,2.3362345396243773,0.2517054885683891,47.31353460101906,70.28475754779393,16.456117400749413,46.05
1217,2024,-1.0039,2.83,0.58,3.82,2.82,-4.554997336564273,1.328447091158968,0.0216506555153679,44.89659525072675,42.57517203811939,16.514721541365077,43.96
1217,2025,-8.1881,2.18,0.42,2.59,1.47,10.79135830037004,-7.008703618873099,-0.2586062962648692,44.58339025428754,45.23674208274527,16.56244968641571,44.93
1218,2020,29.5317,9.35,1.75,12.49,3.79,-23.140686398821977,22.82050202156333,0.3415007823945544,53.84954340692556,69.20849053909343,16.039081122860292,23.9
1218,2021,3.9762,6.05,1.22,8.44,2.11,-19.492989664889965,27.558541105121293,0.1620662876779712,48.28460377084724,60.88884833790132,16.179968998674294,34.28
1218,2022,23.2726,25.48059999999993,12.17,45.95059999999993,-3.54,-43.15638725481213,57.408187331536375,0.5027038463668324,53.13781647993519,31.15105460903782,16.6281972526836,24.54
1218,2023,-29.4485,-0.42,-0.17,-0.65,-0.56,2.799871774250356,11.080694070080868,-0.874373513200678,40.75738587977928,64.15566286373038,16.431384357180207,11.66
1218,2024,-12.2219,5.26,1.53,5.96,5.78,0.9863910749027844,-2.501684636118604,-0.1738042665772649,42.434301791508325,26.43918738826454,16.499569318930575,12.49
1218,2025,-1.7347,5.37,1.59,6.03,4.15,1.0117791849855058,-4.186320754716988,-0.1200374960359608,48.58854654123824,51.18355326318825,16.49117226903205,10.65
1219,2020,19.2066,6.85,1.91,13.45,2.69,6.659459228082733,20.81394935899714,0.2814244864614162,49.6680348259539,63.74289224606615,15.96144920930685,48.03
1219,2021,-1.751,3.51,1.0,6.31,2.05,5.1306836639707685,18.470116126282896,-0.0117766680128278,44.753220386380434,70.4429223446722,16.029285748500026,51.1
1219,2022,-2.4385,3.61,1.0,6.86,1.82,5.547712766935825,15.41603039880678,-0.023677820995668,42.26474403497577,40.44953200312066,16.14527249236867,56.85
1219,2023,8.5267,3.86,0.94,7.32,2.19,5.028897809645453,25.288540075997023,0.1410738602426287,45.1449418344369,43.86836182379146,16.136473538304177,54.83
1219,2024,-16.7124,1.75,0.53,2.33,0.78,-5.3905434301500526,4.407116729997513,-0.2747263380124545,44.426873856053696,19.004889313854623,16.118729450065228,53.86
1219,2025,-8.4928,0.7,0.45,-0.01,0.02,0.6792072595311993,-4.471039454526085,-0.3653481293662338,46.84262882095081,41.28367942617944,16.082007227061094,52.34
1220,2020,26.0051,6.13,1.02,7.55,7.87,1.4787299779905436,-26.13252565750768,0.4137986307660293,61.2661205364983,56.09782770136904,14.947330646606884,17.82
1220,2021,32.6949,6.56,1.0,8.1,7.01,0.0575313751078038,-2.091095955083918,0.4956023587666128,49.93803536762884,60.717107410467065,15.00691166866582,21.21
1220,2022,4.018,2.33,0.26,2.85,1.76,0.2650230622987392,1.831070824163456,0.0435605387400901,49.358636055777936,64.26719866545231,14.979575012769224,24.01
